Latitude,Longitude,Date,Average of merged_data.temperature,Average of merged_data.O3,Sum of merged_data.PM2.5,Average of merged_data.AQI
33.503833,-112.095767,01-01-2024 00:00,50.375,0.009,2095.933336,126.3333333
33.503833,-112.095767,02-01-2024 00:00,51.333333,0.012294,257.8,50
33.503833,-112.095767,03-01-2024 00:00,50.958333,0.026471,186.365216,42.5
33.503833,-112.095767,04-01-2024 00:00,49.583333,0.017706,127.933336,31.33333333
33.503833,-112.095767,05-01-2024 00:00,47.125,0.010588,170.017392,41.5
33.503833,-112.095767,06-01-2024 00:00,47.708333,0.015588,232.333336,45
33.503833,-112.095767,07-01-2024 00:00,46.833333,0.024471,120.733336,31
33.503833,-112.095767,08-01-2024 00:00,41.916667,0.015353,99.933336,33.5
33.503833,-112.095767,09-01-2024 00:00,39.65,0.010118,214.533336,47.5
33.503833,-112.095767,10-01-2024 00:00,43.666667,0.012,389.866664,54
33.503833,-112.095767,11-01-2024 00:00,47.125,0.021235,82.133336,33
33.503833,-112.095767,12-01-2024 00:00,43.458333,0.013059,168.333336,45
33.503833,-112.095767,13-01-2024 00:00,45.541667,0.015077,501.266664,61.33333333
33.503833,-112.095767,15-01-2024 00:00,50.458333,0.013647,302.533336,56.5
33.503833,-112.095767,16-01-2024 00:00,51.208333,0.013471,436.666664,60.33333333
33.503833,-112.095767,17-01-2024 00:00,51.708333,0.008353,202.133336,48.5
33.503833,-112.095767,18-01-2024 00:00,55.583333,0.013,200.19048,48.5
33.503833,-112.095767,19-01-2024 00:00,57.666667,0.013615,296.933336,52
33.503833,-112.095767,21-01-2024 00:00,54.416667,0.009235,166.866664,41.5
33.503833,-112.095767,22-01-2024 00:00,55.166667,0.018471,234.8,42.66666667
33.503833,-112.095767,23-01-2024 00:00,54.708333,0.019353,38.866664,25
33.503833,-112.095767,24-01-2024 00:00,55.75,0.011294,155.266664,39
33.503833,-112.095767,25-01-2024 00:00,56.75,0.017471,233.666664,43
33.503833,-112.095767,26-01-2024 00:00,54.708333,0.012,137.8,40.5
33.503833,-112.095767,27-01-2024 00:00,58.125,0.021118,179.933336,43.5
33.503833,-112.095767,28-01-2024 00:00,63.291667,0.020059,98.333336,36
33.503833,-112.095767,29-01-2024 00:00,61.458333,0.014471,87.644448,47
33.503833,-112.095767,30-01-2024 00:00,62.083333,0.015765,149.333336,46.5
33.503833,-112.095767,31-01-2024 00:00,63.875,0.018706,210.366664,45.33333333
33.503833,-112.095767,01-02-2024 00:00,64.958333,0.026353,85.033336,28.5
33.503833,-112.095767,02-02-2024 00:00,55.25,0.028294,56.5,36
33.503833,-112.095767,03-02-2024 00:00,52.416667,0.022765,112.6,36.66666667
